distance (km),displacement (mm),elevation (m)
0,39.20,4006.27
1.07,49.74,4204.04
2.14,55.97,4228.94
2.91,61.80,4233.34
3.98,72.76,4218.22
5.05,88.15,4336.05
6.12,103.52,4406.80
7.19,118.39,4337.30
7.96,134.28,4437.14
9.03,149.84,4524.04
10.1,159.58,4594.89
11.28,166.63,4516.86
12.35,175.74,4515.31
13.12,195.78,4593.57
14.19,213.48,4584.04
15.26,213.82,4668.26
16.33,227.34,4606.10
17.4,238.94,4703.29
18.17,259.92,4784.94
19.24,265.60,4889.07
20.31,254.08,5047.76
21.38,237.30,5233.23
22.45,218.23,5381.20
23.31,218.77,5498.14
24.38,201.57,5718.50
25.56,151.50,5854.17
26.63,137.37,5539.47
27.7,137.64,5299.02
28.47,132.33,5299.15
29.54,107.54,4965.44
30.61,81.40,4875.18
31.68,55.69,4825.13
32.75,57.33,4796.18
33.52,51.91,4844.72
34.59,18.83,4739.88
35.66,18.93,4659.94
36.73,20.70,4656.82
37.8,21.68,4824.63
38.57,19.96,4865.03
39.75,13.77,4871.49
40.82,3.86,4723.57
41.89,5.78,4673.87
42.96,0.08,4676.94
43.73,-1.26,4702.12
44.8,-3.58,4754.88
45.87,-8.46,4803.21
46.94,-7.64,4837.23
48.01,-12.88,4827.75
48.78,-14.28,4849.37
49.85,-19.85,4766.45
